认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,认购编号,认购时间
1593,13800000376,13800000136,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-30 14:25:44,1.90,认购中,张**,Q7A3NRY906H3Z9CYLH,2025-10-05 14:25:44
1592,13800000377,13800000136,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-30 14:15:33,1.90,认购中,张**,JUM2RGHDFWWWMRC4GA,2025-10-05 14:15:33
1560,13800000378,13800000148,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-29 15:48:43,1.90,认购中,周**,18Q5YLPF2EARSKJWQD,2025-10-04 15:48:43
1529,13800000379,13800000111,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-28 14:26:34,1.90,认购中,唐**,6D73YAVNSV60GRB0MV,2025-10-03 14:26:34
1523,13800000380,13800000024,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-28 11:26:27,1.90,认购中,张**,ERW8Q9K7U4N0JZ9NZ4,2025-10-03 11:26:27
1498,13800000381,13800000363,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-27 19:39:31,1.90,认购中,田**,ALG5MT10GKLUJ7QNEW,2025-10-02 19:39:31
1492,13800000363,13800000375,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-27 13:47:08,1.90,认购中,张**,MD479ZU42Q72B64K47,2025-10-02 13:47:08
1486,13800000136,13800000382,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-27 05:35:22,1.90,认购中,孙*,FV20EJRQS5SFJY0X9A,2025-10-02 05:35:22
1471,13800000070,13800000071,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-26 17:07:14,1.90,认购中,罗**,3EEL1MX9ARCNHPGK8X,2025-10-01 17:07:14
1463,13800000383,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-26 12:23:06,1.90,认购中,成*,8161CFMM7TU1FX090U,2025-10-01 12:23:06
1450,13800000375,13800000360,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-26 10:04:16,1.90,认购中,黄**,WYQY0WRD21HMNYA1PW,2025-10-01 10:04:16
1233,13800000384,13800000117,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 20:23:55,1.90,认购中,姜**,8AJXVP8957NRBJJUS4,2025-09-30 20:23:55
1229,13800000385,13800000141,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 19:17:25,1.90,认购中,孙**,AD2EQ0X61ARPX1A4UV,2025-09-30 19:17:25
1223,13800000171,13800000071,18888888803,2,B01.建设数字健康管理与医养数据平台,2000.00,360,2026-09-25 18:04:36,1.90,认购中,吴**,4SJ765X8RHUH030LND,2025-09-30 18:04:36
1221,13800000071,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,2000.00,360,2026-09-25 17:41:36,1.90,认购中,陈**,M86HE4180KSCRS5Z3F,2025-09-30 17:41:36
1206,13800000386,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 14:56:17,1.90,认购中,李*,DVSRQWHLQ18H1LB5ZY,2025-09-30 14:56:17
1201,13800000387,13800000071,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 11:26:32,1.90,认购中,李**,9Y6EAG4S0U6S9E609P,2025-09-30 11:26:32
1195,13800000388,13800000389,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 09:19:27,1.90,认购中,程**,R6HJFLNL45RJ48SSRX,2025-09-30 09:19:27
1194,13800000390,13800000389,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-25 09:15:07,1.90,认购中,叶**,EJ99TSTGM15D8Y35TW,2025-09-30 09:15:07
1186,13800000391,13800000212,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 21:13:47,1.90,认购中,朱**,1NPYUB44UTLGQKFER7,2025-09-29 21:13:47
1178,13800000136,13800000382,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 16:15:48,1.90,认购中,孙*,0XV71P0M39BKQ5QTLW,2025-09-29 16:15:48
1174,13800000392,13800000393,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 16:02:06,1.90,认购中,吴**,24P2FW6U8D9PPJM16Z,2025-09-29 16:02:06
1168,13800000394,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 11:19:14,1.90,认购中,刘**,3UUKEEE774QWUYRGUH,2025-09-29 11:19:14
1166,13800000297,13800000085,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 10:48:20,1.90,认购中,王**,YPKF1QABHQK71Q91ET,2025-09-29 10:48:20
1162,13800000395,13800000117,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 10:02:51,1.90,认购中,盛*,K6JM9HS2L4AESZ93EX,2025-09-29 10:02:51
1161,13800000117,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-24 09:40:01,1.90,认购中,刘**,D599WF5TU8JT405GMN,2025-09-29 09:40:01
1149,13800000396,13800000354,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-23 18:42:49,1.90,认购中,兰**,Y2KTNBKK3XAD1D6DPB,2025-09-28 18:42:49
1147,13800000294,13800000197,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-23 16:54:49,1.90,认购中,欧***,88V1NYUBJ1HXMVHNNH,2025-09-28 16:54:49
1143,13800000397,13800000318,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-23 15:42:06,1.90,认购中,谢**,LS68A4RSE5NQUCCL81,2025-09-28 15:42:06
1129,13800000398,13800000399,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-23 10:49:03,1.90,认购中,周*,V87GWZXHEUQKY1CRPN,2025-09-28 10:49:03
1125,13800000400,13800000212,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-23 09:15:04,1.90,认购中,王**,6E8E0219KGH3L92AM2,2025-09-28 09:15:04
1115,13800000401,13800000011,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-22 16:11:26,1.90,认购中,罗**,UVGHQDZEQQ02SWT8FF,2025-09-27 16:11:26
1106,13800000402,13800000403,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-22 11:33:21,1.90,认购中,张*,4HFTXKERDKVFRV0E5J,2025-09-27 11:33:21
1104,13800000404,13800000001,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-22 11:19:57,1.90,认购中,黄**,BDM6GKLNE7HRKSXXB1,2025-09-27 11:19:57
1103,13800000405,13800000001,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-22 10:42:58,1.90,认购中,黄**,X9JGTAYAU38TT72FET,2025-09-27 10:42:58
1101,13800000406,13800000111,18888888803,2,B01.建设数字健康管理与医养数据平台,1016.50,360,2026-09-22 10:16:46,1.90,认购中,桂**,RN4RZ802JH4GSFCVB9,2025-09-27 10:16:46
1098,13800000407,13800000406,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-22 09:08:01,1.90,认购中,桂**,8HGNXQJT3Q2V3LBWS5,2025-09-27 09:08:01
1085,13800000408,13800000333,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 18:49:56,1.90,认购中,陈**,70Z4DJGWMMNZHKPQLR,2025-09-26 18:49:56
1081,13800000409,13800000410,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 17:47:57,1.90,认购中,马**,LUR372ZK48KCWR4WDK,2025-09-26 17:47:57
1079,13800000411,13800000410,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 17:42:48,1.90,认购中,张**,EX566RBMKFWYR35D3A,2025-09-26 17:42:48
1078,13800000412,13800000403,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 17:37:37,1.90,认购中,闫**,595PD456X27P3K0RS7,2025-09-26 17:37:37
1075,13800000080,13800000358,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 17:35:52,1.90,认购中,刘**,X4AZCP8B6BC7Q0A7D3,2025-09-26 17:35:52
1058,13800000413,13800000414,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 14:24:18,1.90,认购中,李**,ZGGRG699QXXR9706HC,2025-09-26 14:24:18
1044,13800000415,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-21 09:38:36,1.90,认购中,盛**,CHG18JGML8FB9A08NH,2025-09-26 09:38:36
1031,13800000399,13800000255,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 20:01:15,1.90,认购中,鲍**,Y0GS9WJ37U8QZYY34B,2025-09-25 20:01:15
1028,13800000416,13800000302,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 18:09:00,1.90,认购中,朱**,XNY8KLS03YFQZNM9CG,2025-09-25 18:09:00
1024,13800000417,13800000406,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 17:11:43,1.90,认购中,方**,VMYNWNQDCXXN7MG7UW,2025-09-25 17:11:43
1023,13800000418,13800000098,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 17:01:32,1.90,认购中,王**,DZJWTGHRMJUQA8F4TL,2025-09-25 17:01:32
1019,13800000419,13800000302,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 16:04:43,1.90,认购中,李**,S9ZA7KD8P6E73AYVX6,2025-09-25 16:04:43
1008,13800000420,13800000412,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 14:23:07,1.90,认购中,肖**,QZ1J2RBYBVNM1A28G5,2025-09-25 14:23:07
1002,13800000421,13800000422,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-20 12:45:09,1.90,认购中,罗**,QUASGPMUFPYHEMP6ZR,2025-09-25 12:45:09
963,13800000423,13800000064,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 17:02:54,1.90,认购中,王**,ZJUAJTRFPTJCXCH8GT,2025-09-24 17:02:54
959,13800000257,13800000424,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 16:06:52,1.90,认购中,苏**,CVYN5L0E2PHV57Q0C1,2025-09-24 16:06:52
957,13800000425,13800000358,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 15:15:27,1.90,认购中,张**,1G958LNT8CVAX8XT5D,2025-09-24 15:15:27
956,13800000426,13800000358,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 15:09:57,1.90,认购中,王**,0JKP62R2URP967V904,2025-09-24 15:09:57
954,13800000330,13800000025,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 14:04:18,1.90,认购中,陈**,9Q9J5HJ8SMVKVLZQF0,2025-09-24 14:04:18
952,13800000098,13800000099,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 12:27:07,1.90,认购中,王**,J1MGWJ2534VX1H67QG,2025-09-24 12:27:07
950,13800000087,13800000178,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 11:52:04,1.90,认购中,彭**,U28LNXC3MHA4MHW3FY,2025-09-24 11:52:04
948,13800000427,13800000214,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 11:18:09,1.90,认购中,栗**,SFVWZBREB5R891LTJ3,2025-09-24 11:18:09
946,13800000428,13800000023,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-19 10:25:46,1.90,认购中,李**,1KGZX35WXDJDTVFU15,2025-09-24 10:25:46
925,13800000225,13800000229,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 19:24:57,1.90,认购中,韩**,7R3J3JK039H2E1XTDT,2025-09-23 19:24:57
923,13800000429,13800000407,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 18:35:13,1.90,认购中,陈**,XGL90LA3GQMSV0B23Y,2025-09-23 18:35:13
922,13800000216,13800000430,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 17:44:39,1.90,认购中,孙*,85QFFCN23L5Z7XQJR6,2025-09-23 17:44:39
917,13800000214,13800000099,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 17:21:44,1.90,认购中,蒋**,XA3JXJQV510V7957QC,2025-09-23 17:21:44
907,13800000431,13800000337,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 13:49:14,1.90,认购中,楚**,XCQ7EQDRMJ0DUM7LJ1,2025-09-23 13:49:14
903,13800000410,13800000358,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 12:35:55,1.90,认购中,王*,B7UG698RYKUNAAKCXS,2025-09-23 12:35:55
895,13800000275,13800000306,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 11:35:37,1.90,认购中,沈**,D4PZ27VBLBGXR4PSLH,2025-09-23 11:35:37
890,13800000221,13800000076,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 10:57:50,1.90,认购中,王**,1NA6BTACBD08P7KUB6,2025-09-23 10:57:50
889,13800000432,13800000121,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 10:46:32,1.90,认购中,何**,MTYX5J8PXH6QVP8BPK,2025-09-23 10:46:32
886,13800000024,13800000025,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-18 10:25:24,1.90,认购中,陈**,HMRSW05GM057F240Q3,2025-09-23 10:25:24
860,13800000433,13800000337,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 21:15:55,1.90,认购中,肖*,2GY9ZQRLADKAYC1EP9,2025-09-22 21:15:55
858,13800000336,13800000337,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 21:03:25,1.90,认购中,肖*,X78WBSB8QJJBB5JHWZ,2025-09-22 21:03:25
856,13800000434,13800000435,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 19:43:56,1.90,认购中,张**,LNT8SKTQ1P26MM0Q8M,2025-09-22 19:43:56
847,13800000171,13800000071,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 17:26:47,1.90,认购中,吴**,2ZJ63F1LJWL4A4ULCR,2025-09-22 17:26:47
832,13800000436,13800000018,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 15:02:37,1.90,认购中,刘**,HYJA3F1DKP00T9K6C6,2025-09-22 15:02:37
820,13800000232,13800000247,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 12:14:53,1.90,认购中,巨**,6WMWP508FQXP0ML29U,2025-09-22 12:14:53
819,13800000247,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1031.00,360,2026-09-17 11:42:08,1.90,认购中,陈**,6BVNCJNRZVL0P3WPJL,2025-09-22 11:42:08
815,13800000437,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 11:21:08,1.90,认购中,李*,9MERK2G3MWWTQC7UM9,2025-09-22 11:21:08
813,13800000438,13800000439,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 11:10:32,1.90,认购中,欧***,2LW0HNTMUDAW091BBD,2025-09-22 11:10:32
812,13800000125,13800000043,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 11:05:57,1.90,认购中,王**,WL0GU1W0JLRZRPPKXU,2025-09-22 11:05:57
809,13800000440,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 10:50:31,1.90,认购中,连**,HHLV5PJ51SJAKDP7Q5,2025-09-22 10:50:31
808,13800000042,13800000043,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 10:27:40,1.90,认购中,周**,H8K40U34EFY7KSVFK9,2025-09-22 10:27:40
805,13800000149,13800000064,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 10:14:47,1.90,认购中,韩**,P9BXZHU32SMK0BV0ZP,2025-09-22 10:14:47
804,13800000441,13800000438,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 10:14:07,1.90,认购中,刘**,LN1TFD24WFG21RSF7Q,2025-09-22 10:14:07
803,13800000442,13800000443,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-17 09:45:47,1.90,认购中,申**,M661SFLPFQFJ13N19S,2025-09-22 09:45:47
