认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,认购编号,认购时间
779,13800000446,13800000011,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 19:10:18,1.90,认购中,张*,YG6PB7W8V9MNVXGH0J,2025-09-21 19:10:18
773,13800000447,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 18:06:40,1.90,认购中,罗**,V09XCFXL2YGC2LVKHV,2025-09-21 18:06:40
764,13800000448,13800000085,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 15:25:24,1.90,认购中,王**,XGPFEBBPMA96VZ31F7,2025-09-21 15:25:24
763,13800000249,13800000448,18888888803,2,B01.建设数字健康管理与医养数据平台,1004.00,360,2026-09-16 15:12:41,1.90,认购中,张**,GD90Q6B9E550VYARBJ,2025-09-21 15:12:41
758,13800000148,13800000449,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 14:11:58,1.90,认购中,梁*,S2UP8Y1WTT5Y4H22G6,2025-09-21 14:11:58
749,13800000022,13800000023,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 11:52:18,1.90,认购中,鲍**,CVLC8AHJC0SJJEUBG4,2025-09-21 11:52:18
747,13800000424,13800000023,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 11:44:11,1.90,认购中,于**,YVFGKA4YVS1EKNRA8R,2025-09-21 11:44:11
733,13800000450,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-16 09:03:55,1.90,认购中,马**,V9F469BEVE2X3J5NSY,2025-09-21 09:03:55
713,13800000451,13800000452,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 21:27:23,1.90,认购中,郭**,AEJ0MBYGB9XFNP9756,2025-09-20 21:27:23
695,13800000337,13800000306,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 18:31:43,1.90,认购中,周**,ED6LNSZPYZ1TRWCWFD,2025-09-20 18:31:43
691,13800000453,13800000414,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 18:05:48,1.90,认购中,张*,N4G76B1DASN0BG9LYS,2025-09-20 18:05:48
686,13800000111,13800000255,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 17:15:50,1.90,认购中,杜**,B5FR0MKKFEVRA2G1J5,2025-09-20 17:15:50
685,13800000229,13800000430,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 17:12:53,1.90,认购中,王**,9K8PE9WWCMUEUJH3R5,2025-09-20 17:12:53
677,13800000430,13800000382,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 16:34:58,1.90,认购中,樊**,7WNSYB1PMPHEPUYCTD,2025-09-20 16:34:58
668,13800000369,13800000454,18888888803,2,B01.建设数字健康管理与医养数据平台,1009.86,360,2026-09-15 15:46:31,1.90,认购中,王**,NGX4VJZCCEVMD3U3U9,2025-09-20 15:46:31
667,13800000314,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 15:37:47,1.90,认购中,代**,S2A6K7SDPWAFK0YPS4,2025-09-20 15:37:47
665,13800000455,13800000456,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 15:25:32,1.90,认购中,张**,VD720V1JCNPDLJSQEQ,2025-09-20 15:25:32
661,13800000457,13800000458,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 14:21:58,1.90,认购中,黄**,84X3XS5F6LKJJRFU11,2025-09-20 14:21:58
660,13800000459,13800000018,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 14:20:04,1.90,认购中,张**,NJ5R9P96UCWAP552K1,2025-09-20 14:20:04
655,13800000460,13800000461,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 13:28:15,1.90,认购中,李**,SFA5VEEH1R9X8C0KMX,2025-09-20 13:28:15
652,13800000023,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 13:09:27,1.90,认购中,鲍**,BQPGXM2VHPBEGDHSY8,2025-09-20 13:09:27
646,13800000462,13800000358,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 12:12:23,1.90,认购中,李**,YN31XR2K4JMDLS1307,2025-09-20 12:12:23
645,13800000121,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 12:06:56,1.90,认购中,余*,1K9TNJYZU3U374YJ82,2025-09-20 12:06:56
638,13800000071,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 10:46:45,1.90,认购中,陈**,JQX3Q66JR3DHL5NZNV,2025-09-20 10:46:45
635,13800000463,13800000464,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 10:10:56,1.90,认购中,翟**,ZGW5T5E0DGASRU2QKX,2025-09-20 10:10:56
633,13800000140,13800000141,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 09:45:58,1.90,认购中,肖**,J13FW40VQV93B1CMHV,2025-09-20 09:45:58
631,13800000141,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-15 09:35:54,1.90,认购中,刘**,UXRLCPNKH00SCD8S9Z,2025-09-20 09:35:54
610,13800000403,13800000461,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 21:53:44,1.90,认购中,张**,0MM8ADQ91BDNB3NUPA,2025-09-19 21:53:44
