认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,身份证号码,认购编号,认购时间
2939,13800000084,13800000085,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-10-30 05:02:06,1.00,认购中,王**,512924********9427,347NC7JXYJXT4ZPXFA,2025-11-04 05:02:06
2931,13800000029,13800000076,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-10-29 21:13:48,1.00,认购中,张*,411322********0031,7J8508QSX5A1JKBYLT,2025-11-03 21:13:48
2677,13800000484,13800000209,18888888803,1,A01.建设智慧康养社区服务平台,2000.00,360,2026-10-25 09:35:03,1.00,认购中,刘**,430221********7543,WA1T2CF63WS61CCV3U,2025-10-30 09:35:03
2209,13800000302,13800000465,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-10-14 19:53:12,1.00,认购中,王**,341126********7528,UEASQBQ8S80V54ZDLW,2025-10-19 19:53:12
1987,13800000485,13800000106,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-10-08 20:38:19,1.00,认购中,孙*,412827********1548,XXR4UL4QBY04L1H5FM,2025-10-13 20:38:19
1640,13800000486,13800000363,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-10-02 12:45:06,1.00,认购中,高**,412922********4214,WWG5PDWJWXEDX54U51,2025-10-07 12:45:06
1089,13800000487,13800000434,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-21 21:10:45,1.00,认购中,郑**,410125********4514,5TV738SHHKR6HA4L30,2025-09-26 21:10:45
1034,13800000488,13800000197,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-20 21:21:48,1.00,认购中,张**,320323********7026,CUEM2XUB6WYVFR68VF,2025-09-25 21:21:48
992,13800000489,13800000435,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-20 10:27:47,1.00,认购中,荣**,412824********0623,QNMPJ8QF9QDF76LBSJ,2025-09-25 10:27:47
864,13800000490,13800000422,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-17 23:22:40,1.00,认购中,汤**,430322********7191,KA9U335GLXXC6XH80P,2025-09-22 23:22:40
790,13800000435,13800000460,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-16 21:15:39,1.00,认购中,张**,410221********0244,L51CBZVS3UG5LRK8Z0,2025-09-21 21:15:39
762,13800000491,13800000025,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-16 14:59:00,1.00,认购中,孙**,412922********2022,5M1VT9TCN0SYYJFT2J,2025-09-21 14:59:00
750,13800000445,13800000455,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-16 12:58:24,1.00,认购中,宋**,152224********2015,9ZDFXENHAK70F1KGZH,2025-09-21 12:58:24
466,13800000492,13800000453,18888888803,1,A01.建设智慧康养社区服务平台,1000.00,360,2026-09-13 21:21:59,1.00,认购中,刘**,420700********5286,ZRWC62MX9PXJLXL34N,2025-09-18 21:21:59
